pair,direction,entry_date,exit_date,entry_price,exit_price,sl,size,pnl,pnl_pct,exit_reason
EURUSD,LONG,2025-03-28,2025-04-01,1.0802001787185669,1.0817880796432495,1.0679821802139282,16369.293213128767,25.99281582952842,0.2599281582952842,SMA_Cross
EURUSD,LONG,2025-04-03,2025-05-08,1.090969426727295,1.1305205987930298,1.0767883449895042,14139.954907828353,559.2517895612516,5.592517895612516,SMA_Cross
EURUSD,LONG,2025-05-21,2025-05-29,1.128895504570007,1.123268263244629,1.113240101943697,13522.800860581467,-76.09606383752356,-0.7609606383752356,SMA_Cross
EURUSD,LONG,2025-05-30,2025-07-15,1.1379376483917236,1.1665297912597656,1.1211932561329432,12552.439502296646,358.90114359211987,3.589011435921199,SMA_Cross
EURUSD,LONG,2025-08-07,2025-08-12,1.1664167476654053,1.1617449687957764,1.1483297437531608,12017.52345261334,-56.14321213118856,-0.5614321213118856,SMA_Cross
EURUSD,LONG,2025-08-13,2025-08-22,1.1678058935165403,1.16120530834198,1.1496246418884821,11893.467726202829,-78.50384674768583,-0.7850384674768583,SMA_Cross
GBPUSD,LONG,2025-04-11,2025-05-09,1.2993074489593506,1.323439137840271,1.2756146154335568,8441.37109148489,203.70454090810912,2.037045409081091,SMA_Cross
GBPUSD,LONG,2025-05-12,2025-05-13,1.3290036750793457,1.3176834749221802,1.3124051566737038,12294.717265174535,-139.17866031753422,-1.3917866031753423,SMA_Cross
GBPUSD,LONG,2025-05-14,2025-05-15,1.3305418325424194,1.3262479471206665,1.312868667936325,11389.613693882435,-48.905696199559074,-0.4890569619955908,SMA_Cross
GBPUSD,LONG,2025-05-16,2025-06-18,1.3307896686553955,1.3429029153823853,1.3138493090970176,11824.566237660178,143.23388827641085,1.4323388827641086,SMA_Cross
GBPUSD,LONG,2025-06-24,2025-07-09,1.354636414146423,1.358429567718506,1.3389400503567284,12944.213333456451,49.09938904360455,0.4909938904360455,SMA_Cross
GBPUSD,LONG,2025-08-08,2025-09-03,1.345252735710144,1.3382476734161377,1.3282564967972892,12012.014556926924,-84.1449102477839,-0.8414491024778389,SMA_Cross
GBPUSD,LONG,2026-02-09,2026-02-17,1.3609959913253784,1.3626691268920899,1.3414299151829312,10348.3278688672,17.314155413392992,0.17314155413392993,SMA_Cross
GLD,LONG,2025-03-11,2025-04-07,269.1869196624756,273.68262045593264,263.29121566554477,33.92300565023555,152.50768341821185,1.5250768341821186,SMA_Cross
GLD,LONG,2025-04-09,2025-05-01,285.40854288330075,297.4302454559326,276.27424374128066,22.22941798941989,267.23545143151784,2.6723545143151783,SMA_Cross
GLD,LONG,2025-05-05,2025-05-08,306.9106928833008,304.5995418823242,293.66498278285434,15.73300797893584,-36.36135713888985,-0.36361357138889855,SMA_Cross
GLD,LONG,2025-05-09,2025-05-12,306.8706803375244,298.16018344116213,293.8335360852922,15.92892059307092,-138.7488133883451,-1.387488133883451,SMA_Cross
GLD,LONG,2025-05-20,2025-06-24,303.61034457092285,306.1593834411621,290.8832065965925,16.098879394542774,41.03666934398338,0.4103666934398338,SMA_Cross
GLD,LONG,2025-07-02,2025-07-03,309.280925,307.10930064697266,301.51662969447545,26.494792454243413,-57.53673652204076,-0.5753673652204077,SMA_Cross
GLD,LONG,2025-07-11,2025-07-14,309.17092864990235,307.97920876464843,301.89950095040456,28.132392481467935,-33.52593153993313,-0.33525931539933135,SMA_Cross
GLD,LONG,2025-07-16,2025-07-25,308.29083576660156,307.3692538970947,301.35655319126676,29.403494463483867,-27.09772739769142,-0.2709772739769142,SMA_Cross
GLD,LONG,2025-08-01,2025-08-11,309.14089635009765,308.51913279418943,301.4194782418387,26.335859801016372,-16.374677837780204,-0.16374677837780205,SMA_Cross
GLD,LONG,2025-11-10,2025-11-17,378.4178428833008,371.61282889709474,365.2135625749861,15.37552115426826,-104.6306365000027,-1.0463063650000268,SMA_Cross
GLD,LONG,2025-11-18,2025-12-31,374.38744110412597,396.2703665588379,361.8117357121059,15.97763880544474,349.6374789218599,3.496374789218599,SMA_Cross
GLD,LONG,2026-01-02,2026-02-02,398.31982677917483,427.0872918823242,384.65696318402973,15.218100261917296,437.7861682209344,4.377861682209344,SMA_Cross
GLD,LONG,2026-02-03,2026-02-05,454.33543754577636,441.8358168823242,416.5611542728969,5.736139316131078,-71.69956552435238,-0.7169956552435238,SMA_Cross
GLD,LONG,2026-02-06,2026-02-12,455.50553745422366,451.34487564697264,413.4569621891567,5.118950136904399,-21.298220327840497,-0.21298220327840497,SMA_Cross
GLD,LONG,2026-02-13,2026-02-17,462.6662571166992,448.1551922058106,420.26911443394255,5.06681776436225,-73.52492147030432,-0.7352492147030433,SMA_Cross
GLD,LONG,2026-02-20,2026-03-05,468.6668571166992,466.08339188232424,439.6197118181501,7.344890352596653,-18.97526887622946,-0.18975268876229462,SMA_Cross
GLD,LONG,2026-03-06,2026-03-06,473.55736076660156,473.46265876464844,447.2702252336775,8.101627947614272,-0.7672403857184485,-0.007672403857184484,End_of_Test
SLV,LONG,2025-04-16,2025-05-02,29.762976228904726,29.117088839149474,28.021547581182208,114.84823122759856,-74.17902428560127,-0.7417902428560127,SMA_Cross
SLV,LONG,2025-11-10,2026-01-30,45.7945799156189,75.43245844116211,43.67029435392108,93.45091031717276,2769.686728081799,27.696867280817994,SMA_Cross
SLV,LONG,2026-02-23,2026-03-03,80.5780566947937,74.67253230514527,69.17663174187797,22.27003687034667,-131.51624589620212,-1.3151624589620212,SMA_Cross
SLV,LONG,2026-03-04,2026-03-05,75.34753033752442,74.2625696434021,65.07896148114887,24.47077413343585,-26.54982808952297,-0.2654982808952297,SMA_Cross
SLV,LONG,2026-03-06,2026-03-06,75.94759644165039,75.93240844116211,66.76188389979771,27.29770079933675,-0.41459749306924354,-0.004145974930692436,End_of_Test
USO,LONG,2025-07-02,2025-07-03,75.59755533752441,75.1824834411621,69.69898595799037,33.90652667304883,-14.0736463252415,-0.14073646325241498,SMA_Cross
USO,LONG,2025-07-07,2025-07-10,76.48765135726929,75.38246038970948,71.3047965686253,38.534463190266024,-42.58794065764787,-0.42587940657647866,SMA_Cross
USO,LONG,2025-07-11,2025-07-14,77.2977299156189,75.61244074630737,73.02630439594815,46.5574706487381,-78.46280103485782,-0.7846280103485781,SMA_Cross
USO,SHORT,2025-12-02,2025-12-04,70.19297694854737,71.3971383895874,73.3772617037092,61.95975781368777,-74.60955125542144,-0.7460955125542144,SMA_Cross
USO,LONG,2026-02-18,2026-03-06,79.4079415260315,108.7591196434021,74.45651461127144,39.54523101832469,1160.6991193114172,11.606991193114172,End_of_Test
GDX,LONG,2025-03-11,2025-04-04,41.54247246589661,41.37533287811279,38.966891933004995,77.65239620578242,-12.978789492259962,-0.12978789492259962,SMA_Cross
GDX,LONG,2025-04-09,2025-05-01,44.670074013137814,46.85498657913208,40.813795580053984,51.79616245977971,113.17008622865322,1.131700862286532,SMA_Cross
GDX,LONG,2025-05-05,2025-05-08,48.37355025024414,48.52270461730958,45.159747989915154,62.85508863698697,9.375110962491618,0.09375110962491617,SMA_Cross
GDX,LONG,2025-05-09,2025-05-12,50.01181373062134,46.86325342995944,46.86325342995944,64.21707347052325,-202.1913281539779,-2.021913281539779,SL
GDX,LONG,2025-05-20,2025-06-24,48.46290702438355,51.48092011871338,45.226411268831605,61.22285229356242,184.7713698941925,1.847713698941925,SMA_Cross
GDX,LONG,2025-06-26,2025-06-27,52.24581320075989,50.359179429244996,49.82907953382458,83.51889649666764,-157.56957069027015,-1.5756957069027016,SMA_Cross
GDX,LONG,2025-07-02,2025-07-08,52.2855281703949,50.41874378471375,49.73689507053961,77.96003967234773,-145.53458476742176,-1.4553458476742176,SMA_Cross
